textid,words,sylls,ltrvec,perf,isrhymed
1015,grow flow sound found fire inspire flights writes known own,ow ow ound ound ire ire ights ites own own,A A B B C C D E F F,1 1 1 1 1 1 0 0 1 1,1
1016,blind mind rules fools denied pride find wind defence sense,ind ind ules ols ied ide ind ind ence ense,A A B C D D A A E E,1 1 0 0 0 0 1 1 1 1,1
1017,away day know foe,ay ay ow oe,A A B B,1 1 1 1,1
1018,thing spring brain again imparts arts mind behind surprise rise try sky past last survey way eyes arise,ing ing ain ain arts arts ind ind ise ise y y ast ast ey ay eyes ise,A A B B C C D D E E F F G G H H I E,1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 0 1,1
1019,wit writ find mind delight wit flow low keep sleep hearts parts call all dome rome surprize eyes appear regular,it it ind ind ight it ow ow eep eep arts arts all all ome ome ize eyes ear ar,A A B B A A C C D D E E F F G G H I J K,1 1 1 1 0 1 1 1 1 1 0 0 1 1 1 1 1 0 1 1,1
1020,see be end intend true due wit commit lays praise art part prize sacrifice,ee e end end ue ue it it ays aise art art ize ice,A A B B C C D D E E F F G G,1 0 1 1 1 1 1 1 0 0 1 1 1 0,1
1021,say way sage stage fools rules nice advice plot not about out knight stagirite rage stage contain plain,ay ay age age ols ules ice ice ot ot out out ight ite age age ain ain,A A B B C D E E F F G G H H B B I I,1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1,1
1022,caprice nice arts parts,ice ice arts arts,A A B B,1 1 0 0,1
1023,confine line fit wit trace grace part art dressd expressd find mind light wit good blood,ine ine it it ace ace art art essd essd ind ind ight it ood ood,A A B B C C D D E E F F B B G G,1 1 1 1 1 1 1 1 0 0 1 1 0 1 1 1,1
1024,express dress excellent content abound found glass place survey gay,ess ess ent ent ound ound ass ace ey ay,A A B B C C A D E E,1 1 1 1 1 1 0 1 1 1,1
1025,sun upon none,un on one,A A A,1 0 0,1
1026,still suitable expressd dressd sort court,ill able essd essd ort ourt,A A B B C C,1 0 0 0 1 0,1
1027,pretence sense style smile,ence ense yle ile,A A B B,1 1 0 1,1
1028,play display yesterday,ay ay ay,A A A,1 1 1,1
1029,best drest hold old tryd aside,est est old old yd ide,A A B B C D,1 1 1 1 0 1,1
1030,song wrong conspire admire,ong ong ire ire,A A B B,1 1 1 1,1
1031,ear repair there,ear air ere,A A A,1 0 1,1
1032,require tire join line chimes rhymes breeze trees creep sleep fraught thought song along know slow line join chance dance offence sense blows flows shore roar throw slow plain main surprize rise jove love glow flow found sound allow now,uire ire oin ine imes es eeze ees eep eep aught ought ong ong ow ow ine oin ance ance ence ense ows ows ore oar ow ow ain ain ize ise ove ove ow ow ound ound ow ow,A A C C D D E E F F G G H H I I C C J J K K L L M M I I N N O O P P I I Q Q I I,0 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1
1033,such much offence sense best digest move approve descry magnify,uch uch ence ense est est ove ove y y,A A B B C C D D E E,1 1 1 1 1 1 1 1 1 1,1
1034,despise prize applyd beside confine shine sublimes climes past last decays days new true,ise ize yd ide ine ine imes imes ast ast ays ays ew ue,A A B C D D E E F F G G H H,1 1 0 1 1 1 1 1 1 1 0 0 1 0,1
1035,own town precedent invent then men he quality board lord be me lines refines fault thought,own own ent ent en en e y oard ord e e ines ines ault ought,A A B B C C D D E E D D F F G G,1 1 1 1 1 1 1 0 1 1 1 1 0 0 1 0,1
1036,err singular throng wrong quit wit night right usd abusd unfortifyd side say today grow so oerspread read disputed confuted remain ducklane worn turn fit wit safe laugh mind mankind then men,err ar ong ong uit it ight ight usd usd yd ide ay ay ow o ead ead uted uted ain ane orn urn it it afe augh ind ind en en,A A B B C C D D E E F G H H I I G G J J K K L L C C M M N N K K,1 0 1 1 0 1 0 0 0 0 0 1 1 1 1 1 0 0 0 0 1 1 1 0 1 1 1 0 1 1 0 0,1
1037,state hate rose beaus past last eyes arise head dead pursue true known own displays rays way day,ate ate ose aus ast ast eyes ise ead ead ue ue own own ays ays ay ay,A A B C D D E F G G H H I I J J K K,1 1 1 0 1 1 0 1 1 1 1 1 1 1 0 0 1 1,1
1038,befriend commend rhymes betimes appears years lost boast see be designd mind command hand unite light give live betray away,iend end es imes ars ars ost oast ee e ignd ind and and ite ight ive ive ay ay,A A B B D D E E F F G H I I J J K K L L,1 1 0 1 0 0 1 0 1 0 0 1 1 1 1 1 1 1 1 1,1
1039,things brings boast lost supplies dies employ enjoy admird requird ease please shun undone,ings ings oast ost ies ies oy oy ird uird ease ease un one,A A B B C C D D E F G G H H,0 0 1 1 0 0 1 1 1 0 1 1 1 0,1
1040,undergo foe excel well due too crown down rules fools commend friend ways praise boast lost join divine,o oe el ell ue oo own own ules ols end iend ays aise oast ost oin ine,A A B B C A D D E F G G H H I I J J,1 0 0 0 1 1 1 1 0 0 1 0 0 0 1 1 1 0,1
1041,remain disdain crimes times find mind prove love ease increase care war writ wit play away more before reign drain nation salvation dispute absolute spare there skies blasphemies engage rage nice vice spy eye,ain ain imes imes ind ind ove ove ease ease are ar it it ay ay ore ore eign ain ion ion ute ute are ere ies ies age age ice ice y ye,A A B B C C D D E E F F G G H H I I A A J J K K F F L L M M E E N N,1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 0 1 1 1 1 0 0 1 1 0 0 1 1,1
1042,show know join shine due too,ow ow oin ine ue oo,A A B B C D,1 1 1 0 1 1,1
1043,sense diffidence know so past last,ense ence ow o ast ast,A A B B C C,0 0 1 1 1 1,1
1044,true do not forgot disapprovd belovd,ue o ot ot ovd ovd,A A C C D D,1 1 1 1 0 0,1
1045,pretence sense trust unjust raise praise,ence ense ust ust aise aise,A A B B C C,1 1 1 1 1 1,1
1046,take speak eye tapestry fool dull please degrees satires dedicators more oer restrain vain spite write keep asleep race pace bold old vein brain sense impotence,ake eak ye y ool ull ease ees ires ors ore oer ain ain ite ite eep eep ace ace old old ein ain ense ence,A A B B C C D D E F G H I I J J K K L L M M I I N N,1 1 0 0 1 0 1 0 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0,1
1047,true too read head ears appears assails tales buy dispensary,ue oo ead ead ars ars ils ales uy y,A A C C D D E F G H,1 1 1 1 0 0 0 0 0 1,0
1048,friend mend barrd churchyard dead tread,iend end arrd yard ead ead,A A B C D D,1 1 0 0 1 1,1
1049,speaks makes breaks,aks akes aks,A B A,0 0 0,1
1050,aside tide,ide ide,A A,1 1,1
1051,bestow know spite right sincere severe show foe unconfind kind pride side,ow ow ite ight ere ere ow oe ind ind ide ide,A A B B C C A A D D E E,1 1 1 1 1 1 1 1 1 1 1 1,1
1052,few knew shore explore far star free liberty fit wit,ew ew ore ore ar ar ee y it it,A A B B C C D D E E,1 1 1 1 1 1 1 0 1 1,1
1053,negligence sense convey way wit writ fire inspire extreme fleme translations quotations,ence ense ey ay it it ire ire eme eme ons ons,A A B B C C D D E E F F,1 1 1 1 1 1 1 1 1 1 0 0,1
1054,refine line please ease,ine ine ease ease,A A B B,1 1 1 1,1
1055,find joind place grace hand command,ind oind ace ace and and,A B C C D D,1 0 1 1 1 1,1
1056,inspire fire trust just laws draws,ire ire ust ust aws aws,A A B B C C,1 1 1 1 0 0,1
1057,reignd ordaind grew flew doom rome joind mind understood good oerrun begun,eignd aind ew ew oom ome oind ind ood ood un un,A B C C D D E F G G H H,0 0 1 1 1 0 0 1 1 1 1 1,1
1058,name shame age stage,ame ame age age,A A B B,1 1 1 1,1
1059,days bays spread head revive live rung sung brow grow name fame,ays ays ead ead ive ive ung ung ow ow ame ame,A A B B C C D D E E F F,0 0 1 1 1 1 1 1 1 1 1 1,1
1060,chasd passd advance france obeys sways despisd uncivilizd bold old few knew cause laws tell well,asd assd ance ance eys ays isd izd old old ew ew ause aws ell ell,A B C C D E F G H H I I J J K K,0 0 1 1 0 0 0 0 1 1 1 1 1 1 1 1,1
1061,good blood known own friend commend desert heart receive give sing wing rise tries view knew fame blame offend mend,ood ood own own iend end ert eart eive ive ing ing ise ies iew ew ame ame end end,A A B B C C D D E E F F G G H H J J C C,1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 1 1 1,1
1062,things kings supply die man plan shoot fruit field yield explore soar flies rise can man,ings ings y ie an an oot uit ield ield ore oar ies ise an an,A A B B C C D D E E F F G G C C,0 0 1 1 1 1 1 1 1 1 1 1 0 0 1 1,1
1063,below know here refer known own pierce universe runs suns star are ties dependencies soul whole,ow ow ere er own own ierce erse uns uns ar are ies ies oul ole,A A B B C C D D E E F F G G H H,1 1 1 0 1 1 1 1 0 0 1 0 0 0 1 1,1
1064,agree thee,ee ee,A A,1 1,1
1065,find blind guess less made shade above jove,ind ind ess ess ade ade ove ove,A A B B C C D D,1 1 1 1 1 1 1 1,1
1066,confest best be degree plain man long wrong,est est e ee ain an ong ong,A A B B C C D D,1 1 1 1 1 0 1 1,1
1067,call all pain gain produce use alone unknown goal whole,all all ain ain uce use one own oal ole,A A B B C C D D E E,1 1 1 1 1 0 1 1 1 1,1
1068,restrains plains clod god comprehend end why deity,ins ins od od end end y y,A A B B C C D D,0 0 1 1 1 1 1 1,1
1069,fault ought place space sphere there so ago,ault ought ace ace ere ere o o,A A B B C C D D,1 0 1 1 1 1 1 1,1
1070,fate state know below today play food blood givn heavn all fall hurld world,ate ate ow ow ay ay ood ood ivn eavn all all urld orld,A A B B C C D D E F G G H I,1 1 1 1 1 1 1 1 0 0 1 1 0 1,1
1071,soar adore know now breast blest home come,oar ore ow ow east est ome ome,A A B B C C D D,1 1 1 1 1 0 1 1,1
1072,mind wind stray way givn heavn embracd waste behold gold desire fire sky company,ind ind ay ay ivn eavn acd aste old old ire ire y y,A A B B C D E F G G H H I I,1 1 1 1 0 0 0 1 1 1 1 1 1 1,1
1073,sense providence such much gust unjust care there,ense ence uch uch ust ust are ere,A A B B C C D D,0 0 1 1 1 1 1 1,1
1074,rod god lies skies,od od ies ies,A A B B,1 1 0 0,1
1075,abodes gods fell rebel laws cause,odes ods ell el aws ause,A B C C D D,0 0 1 1 0 0,1
1076,shine mine powr flowr renew dew brings springs rise skies,ine ine owr owr ew ew ings ings ise ies,A A B B C C D D E E,1 1 0 0 1 1 0 0 1 1,1
1077,end descend sweep deep cause laws began man happiness less requires desires skies wise design catiline forms storms mind mankind springs things acquit submit,end end eep eep ause aws an an ess ess ires ires ies ise ign ine orms orms ind ind ings ings uit it,A A B B C C D D E E F F G G H H I I J J K K L L,1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1 0 0 1 1 0 0 0 1,1
1078,appear here wind mind strife life began man,ear ere ind ind ife ife an an,A A B B C C D D,1 1 1 1 1 1 1 1,1
1079,soar more appears bears call all kind assignd course force state abate own alone call all,oar ore ars ars all all ind ignd ourse orce ate ate own one all all,A A B B C C D E F F G G H H C C,1 1 0 0 1 1 1 0 1 1 1 1 1 0 1 1,1
1080,find mankind share bear eye fly givn heavn oer pore brain pain ears spheres still rill wise denies,ind ind are ear ye y ivn eavn oer ore ain ain ars eres ill ill ise ies,A A B B C C D E F G H H I J K K L L,1 1 1 0 0 0 0 0 0 1 1 1 0 0 1 1 1 1,1
1081,extends ascends race grass extreme beam between green flood wood fine line true dew swine thine barrier near allyd divide join line be thee alone one,ends ends ace ass eme eam een een ood ood ine ine ue ew ine ine ier ear yd ide oin ine e ee one one,A A B B C C D D E E F F G G F F H I J K F F L L M M,1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 0 1 1 1 1 1,1
1082,earth birth go below began man see thee powrs ours void destroyd strike alike,earth irth o ow an an ee ee owrs urs oid oyd ike ike,A A B B C C D D E F G H I I,1 1 1 1 1 1 1 1 0 0 1 0 1 1,1
1083,roll whole all fall fly sky hurld world nod god thee impiety,oll ole all all y y urld orld od od ee y,A A C C D D E F G G D D,0 1 1 1 1 1 0 1 1 1 0 1,1
1084,tread head repind mind claim frame pains ordains,ead ead ind ind aim ame ins ins,A A B B C C D D,1 1 1 1 1 1 0 0,1
1085,whole soul same frame breeze trees extent unspent part heart mourns burns small all,ole oul ame ame eeze ees ent ent art eart urns urns all all,A A B B C C D D E E F F G G,1 0 1 1 1 1 1 1 1 1 0 0 1 1,1
1086,name blame degree thee sphere bear powr hour thee see understood good spite right,ame ame ee ee ere ear owr our ee ee ood ood ite ight,A A B B C C D E B B F F G G,1 1 1 1 1 1 0 1 1 1 1 1 1 1,1
1087,said dead doubt out hand land,aid ead oubt out and and,A A B B C C,1 0 1 1 1 1,1
1088,hide glide charge barge free me rhyme dinnertime,ide ide arge arge ee e yme ime,A A B B C C D D,1 1 1 1 1 0 0 0,1
1089,beer peer cross engross scrawls walls strain vain laws cause elope pope,eer eer oss oss awls alls ain ain aws ause ope ope,A A B B C D E E F F G G,1 1 1 1 0 0 1 1 0 0 1 1,1
1090,prolong song remove love sped dead i lie grace face read head ears years,ong ong ove ove ed ead i ie ace ace ead ead ars ars,A A B B C C D E F F C C G G,1 1 1 1 1 1 0 1 1 1 1 1 0 0,1
1091,drurylane pane ends friends it it,ane ane ends ends it it,A A B B C C,1 1 1 1 1 1,1
1092,bound pound,ound ound,A A,1 1,1
1093,grace place letter better dine divine,ace ace er er ine ine,A A B B C C,1 1 0 0 1 1,1
1094,sues muse rage stage ends friends it lintot much retouch attacks snacks door more,ues use age age ends ends it ot uch ouch acks acks oor ore,A A B B C C D E F F G G H H,0 0 1 1 1 1 1 1 1 0 0 0 1 0,1
1095,spring king first burst case face things kings prick kick pass ass lie i,ing ing irst urst ase ace ings ings ick ick ass ass ie i,A A B B C C D D E E C C F G,1 1 1 1 1 1 0 0 1 1 0 0 1 0,1
1096,rule fool break crack hurld world thro anew vain again designs lines peer sneer,ule ool eak ack urld orld o ew ain ain igns ines eer eer,A A B C D E F F G G H I J J,1 0 1 1 0 1 1 1 1 1 0 0 1 1,2
1097,admit wit offend friend tall all right bite innocent repent,it it end iend all all ight ite ent ent,A A B B C C A A D D,1 1 1 0 1 1 0 0 1 1,1
1098,prose foes defend friend bribe subscribe,ose oes end iend ibe ibe,A A B B C C,1 1 1 0 1 1,1
1099,court short high eye see me bed head know ago,ourt ort igh ye ee e ed ead ow o,A A B B B B C C D D,1 1 1 1 0 0 1 1 1 1,1
1100,unknown own fame came trade disobeyd wife life care bear,own own ame ame ade eyd ife ife are ear,A A B B C D E E F F,1 1 1 1 1 0 1 1 1 0,1
1101,polite write praise lays read head before more approvd belovd books cookes,ite ite aise ays ead ead ore ore ovd ovd oks okes,A A B B C C D D E E F G,1 1 1 1 1 1 1 1 0 0 0 0,1
1102,offence sense theme stream quill still fret debt print mint,ence ense eme eam uill ill et ebt int int,A A B B C C E E F F,1 1 1 1 0 1 1 0 1 1,1
1103,abroad rod pretence sense right mite ribalds tibalds spells syllables claim name forms worms rare there,oad od ence ense ight ite alds alds ells ables aim ame orms orms are ere,A A B B C C D D E F G G H H I I,1 0 1 1 1 1 0 0 0 0 1 1 0 0 1 1,1
1104,too due find mind emptiness guess renown crown appear year theft left leaning meaning bad mad translate tate chafe safe,oo ue ind ind ess ess own own ear ear eft eft ing ing ad ad ate ate afe afe,A B C C D D E E F F G G H H I I J J K K,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1
1105,fires inspires please ease alone throne eyes rise leer sneer strike dislike commend friend besiegd obligd laws applause raise praise be he,ires ires ease ease one one eyes ise eer eer ike ike end iend iegd igd aws ause aise aise e e,A A B B C C D E F F G G H H I J K K L L M M,0 0 1 1 1 1 0 1 1 1 1 1 1 0 0 0 0 0 1 1 1 1,1
1106,walls capitals load abroad write sight long song days praise town down cryd side prate state,alls als oad oad ite ight ong ong ays aise own own yd ide ate ate,A B C C D D E E F F G G H I J J,0 0 1 1 1 1 1 1 0 0 1 1 0 1 1 1,1
1107,hill quill long song dead head race place seat eat days praise assignd kind nigh eye reserve starve,ill uill ong ong ead ead ace ace eat eat ays aise ignd ind igh ye erve arve,A A B B C C D D E E F F G H I I J J,1 0 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 0,1
1108,quill still defence sense demands hands away gay bloom tomb return urn,uill ill ence ense ands ands ay ay oom omb urn urn,A A C C D D E E F F G G,0 1 1 1 0 0 1 1 1 0 1 1,1
1109,too do ease please condescend friend affairs prayrs head dead,oo o ease ease end iend irs ayrs ead ead,A A B B C C D E F F,1 0 1 1 1 0 0 0 1 1,1
1110,light write grave save doubt out will still mistakes makes smile style,ight ite ave ave oubt out ill ill akes akes ile yle,A A B B C C D D E E D F,1 1 1 1 1 1 1 1 0 0 1 0,1
1111,flow foe fear tear peace distress about out name fame approve love friend defend say betray swear there misapply lie dread stead,ow oe ear ear eace ess out out ame ame ove ove iend end ay ay ear ere y ie ead ead,A A B B C C D D E E F F G G H H B B I I J J,1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1
1112,silk milk feel wheel wings stings annoys enjoys delight bite betray way speaks squeaks toad abroad lies blasphemies,ilk ilk eel eel ings ings oys oys ight ite ay ay aks aks oad oad ies ies,A A B B C C D D E E F F G G H H I I,1 1 1 1 0 0 0 0 1 1 1 1 0 0 1 1 0 0,1
1113,this miss antithesis,is iss is,A A A,1 1 1,1
1114,part heart board lord exprest rest trust dust,art eart oard ord est est ust ust,A A B B C C D D,1 1 1 1 1 1 1 1,1
1115,fool tool praise ways shame same long song end friend wit hit had mad head shed oerthrown own scape shape spread dead near ear past last great state fail jail peer shire throne own wit bit confess distress door moore reply lie life wife quill will abuse muse rule fool whore moore long song,ool ool aise ays ame ame ong ong end iend it it ad ad ead ed own own ape ape ead ead ear ear ast ast eat ate ail ail eer ire one own it it ess ess oor oore y ie ife ife uill ill use use ule ool ore oore ong ong,A A B B C C D D E E F F G G G G H H I I G G J J K K F F M M J N H H F F O O P P Q Q R R S S U U A A P P D D,1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 0 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 0 1 0 0 1 1,1
1116,cause applause own throne strife wife rage age try lie art heart wise exercise unknown groan die i,ause ause own one ife ife age age y ie art eart ise ise own oan ie i,A A B B C C D D E E F F G G B B E H,1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 0,1
1117,thine mine engage age breath death eye sky attend friend serene queen givn heavn,ine ine age age eath eath ye y end iend ene een ivn eavn,A A B B C C D D E E F F G H,1 1 1 1 1 1 0 0 1 0 1 1 0 0,1
1118,care bound air ground,are ound air ound,A B A B,1 1 1 1,1
1119,bread attire shade fire,ead ire ade ire,A B A B,1 1 0 1,1
1120,find away mind day,ind ay ind ay,A B A B,1 1 1 1,1
1121,ease recreation please meditation,ease ion ease ion,A B A B,1 0 1 0,1
1122,unknown die stone lie,own ie one ie,A B A B,1 1 0 1,1
1123,hour powr behold old decay away fires expires strain plain opprest rest might night fled head before more defence sense fly die fires expires shine divine restord word fall all,our owr old old ay ay ires ires ain ain est est ight ight ed ead ore ore ence ense y ie ires ires ine ine ord ord all all,A B C C D D E E F F G G H H I I A A J J K K E E L L M M N N,1 0 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 0 1 1 1 1 0 0 1 1 1 1 1 1,1
1124,strains plains spring sing play lay,ins ins ing ing ay ay,A A B B C C,0 0 1 1 1 1,1
1125,power more boast lost inspire lyre removes groves sings wings,er ore oast ost ire yre oves oves ings ings,A B C C D D E E F F,0 1 1 1 1 0 0 0 0 0,1
1126,dews muse care fair side replied,ews use are air ide ied,A A B B C C,0 0 1 1 1 1,1
1127,spray day sing spring clear year,ay ay ing ing ear ear,A A B B C C,1 1 1 1 1 1,1
1128,strain plain glow blow plays surveys,ain ain ow ow ays eys,A A B B C D,1 1 1 1 0 0,1
1129,twines vines appear year sky lie,ines ines ear ear y ie,A A B B C C,0 0 1 1 1 1,1
1130,sing spring ground rebound,ing ing ound ound,A A B B,1 1 1 1,1
1131,praise lays stand sand,aise ays and and,A A B B,1 1 1 1,1
1132,prize eyes impart heart,ize eyes art eart,A B C C,1 0 1 1,2
1133,plain swain around found,ain ain ound ound,A A B B,1 1 1 1,1
1134,green unseen flies eyes,een een ies eyes,A A B C,1 1 0 0,2
1135,flow po yield field,ow o ield ield,A A B B,1 1 1 1,1
1136,groves loves maid windsorshade,oves oves aid ade,A A B B,0 0 1 1,1
1137,showers flowers spring sing,ers ers ing ing,A A B B,0 0 1 1,1
1138,fair air shore more,air air ore ore,A A B B,1 1 1 1,1
1139,love grove sight delight,ove ove ight ight,A A B B,1 1 1 1,1
1140,may day here year,ay ay ere ear,A A B B,1 1 1 1,1
1141,appears bears prize eyes,ars ars ize eyes,A A B C,0 0 1 0,2
1142,fields yields resign thine,elds elds ign ine,A A B B,0 0 1 1,1
1143,decree thee excel well bowers showers crownd around tend descend,ee ee el ell ers ers ownd ound end end,A A B B C C D E F F,1 1 0 0 0 0 0 1 1 1,1
1144,name thame playd shade flow show bower shower,ame ame ayd ade ow ow er er,A A B C D D E E,1 1 0 1 1 1 0 0,1
1145,lays bays endure cure,ays ays ure ure,A A B B,0 0 1 1,1
1146,streams beams sing ring lay they agree thee plains reigns,ams ams ing ing ay ey ee ee ins igns,A A B B C C C C D E,0 0 1 1 1 1 0 0 0 0,1
1147,grove love glides divides face glass more before grew dew art heart care shear lays bays breath death same name tree thee power bower employ enjoy,ove ove ides ides ace ass ore ore ew ew art eart are ear ays ays eath eath ame ame ee ee er er oy oy,A A B B C C D D E E F F G H I I J J K K L L G G M M,1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 0 1 1,1
1148,throng song spring bring vain again design join alone one,ong ong ing ing ain ain ign oin one one,A A B B C C D D E E,1 1 1 1 1 1 1 0 1 1,1
1149,appear here strayd shade hours bowers field yield hides abides dew you seats retreats glade shade rise eyes days praise grove above strain again call fall,ear ere ayd ade urs ers ield ield ides ides ew ou ats ats ade ade ise eyes ays aise ove ove ain ain all all,A A B C D E F F G G H I J J C C K L M M N N O O P P,1 1 0 1 0 0 1 1 1 1 1 0 0 0 1 1 1 0 0 0 1 1 1 1 1 1,1
1150,heat retreat remove love descends ends prey day,eat eat ove ove ends ends ey ay,A A B B C C D D,1 1 1 1 1 1 1 1,1
1151,displays lays love grove bring sing,ays ays ove ove ing ing,A A B B C C,0 0 1 1 1 1,1
1152,inspire fire charms warms swains pains,ire ire arms arms ins ins,A A B B C C,1 1 0 0 0 0,1
1153,bright light moan groan,ight ight oan oan,A A B B,1 1 1 1,1
1154,away convey deplores shores mourn forlorn,ay ey ores ores ourn orn,A A B B C C,1 1 0 0 0 1,1
1155,along song deny die spring sing remove love,ong ong y ie ing ing ove ove,A A B B C C D D,1 1 1 1 1 1 1 1,1
1156,away stay tree she,ay ay ee e,A A A A,1 1 0 0,1
1157,flies arise adorn thorn,ies ise orn orn,A A B B,0 0 1 1,1
1158,along song move love swain pain bee me away delay sounds rebounds mind kind lay away,ong ong ove ove ain ain ee e ay ay unds unds ind ind ay ay,A A B B C C D D E E F F G G E E,1 1 1 1 1 1 1 0 1 1 0 0 1 1 1 1,1
1159,admired inspired,ired ired,A A,0 0,1
1160,strain complain rise skies heat retreat seen green,ain ain ise ies eat eat een een,A A B B C C A A,1 1 1 1 1 1 0 0,1
1161,lay day vows boughs away decay,ay ay ows ughs ay ay,A A B C A A,1 1 0 0 1 1,1
1162,strain grain shine wine grove love,ain ain ine ine ove ove,A A B B C C,1 1 1 1 1 1,1
1163,lay prey keep sheep smart dart move love,ay ey eep eep art art ove ove,A A B B C C D D,1 1 1 1 1 1 1 1,1
1164,strains plains remove love bred fed torn born,ins ins ove ove ed ed orn orn,A A B B C C D D,0 0 1 1 1 1 1 1,1
1165,lay day pains strains,ay ay ins ins,A A B B,1 1 0 0,1
1166,night light glade shade,ight ight ade ade,A A B B,1 1 1 1,1
1167,spring sing below flow lie sky lays praise,ing ing ow ow ie y ays aise,A A B B C C D D,1 1 1 1 1 1 0 0,1
1168,frost lost strain plain along song,ost ost ain ain ong ong,A A B B C C,1 1 1 1 1 1,1
1169,yield field gave grave mourn adorn,ield ield ave ave ourn orn,A A B B C C,1 1 1 1 0 1,1
1170,spring bring hide died grown stone deplore more decay day appear bier lie die wore more,ing ing ide ied own one ore ore ay ay ear ier ie ie ore ore,A A B B C C D D E E F G H H D D,1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1,1
1171,food flood bemoan own lies replies shore more,ood ood oan own ies ies ore ore,A A B B C C D D,1 1 1 1 0 0 1 1,1
1172,skies arise field yield death breath store more,ies ise ield ield eath eath ore ore,A A B B C C D D,0 0 1 1 1 1 1 1,1
1173,sings wings lays sprays forbear hear shore more,ings ings ays ays ear ear ore ore,A A B B C C D D,0 0 0 0 1 1 1 1,1
1174,breeze trees wood flood appears tears deplore more,eeze ees ood ood ars ars ore ore,A A B B C C D D,1 1 1 1 0 0 1 1,1
1175,high sky scene green bowers flowers implore more,igh y ene een ers ers ore ore,A A B B C C D D,1 1 1 1 0 0 1 1,1
1176,complains strains breeze trees bleed breed give live,ins ins eeze ees eed eed ive ive,A A B B C C D D,0 0 1 1 1 1 1 1,1
1177,dews diffuse decay obey groves loves crew adieu,ews use ay ey oves oves ew eu,A A B B C C D D,0 0 1 1 0 0 1 0,1
1178,song belong shades maids inspire fire,ong ong ades ids ire ire,A A B C D D,1 1 0 0 1 1,1
1179,begun son arise skies move dove pour shower aid shade fail scale extend descend morn born bring spring advance dance rise skies cheers appears reply deity skies rise pay way foretold behold ray day clear ear forego roe hear tear bound wound care air directs protects arms warms engage age rise eyes oer more bend end son begun yield field surprise rise hear ear abodes nods thorn adorn succeed weed mead lead meet feet take snake survey play rise eyes adorn unborn arise skies attend bend kings springs blow glow display day morn horn rays blaze shine thine decay away remains reigns,un on ise ies ove ove our er aid ade ail ale end end orn orn ing ing ance ance ise ies ers ars y y ies ise ay ay old old ay ay ear ear o oe ear ear ound ound are air ects ects arms arms age age ise eyes oer ore end end on un ield ield ise ise ear ear odes ods orn orn eed eed ead ead eet eet ake ake ey ay ise eyes orn orn ise ies end end ings ings ow ow ay ay orn orn ays aze ine ine ay ay ins igns,A A B B C C D D E E F F G G H H I I J J B B K L M M B B N N O O N N P P Q Q P P R R P P S S T T U U B V W D G G A A X X B B P P Y Z H H E E E E AA AA AB AB N N B V H H B B G G AC AC Q Q N N H H AD AD AE AE N N AF AG,1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 1 1 1 1 1 1 1 0 0 1 1 0 0 0 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 0 1 1 1 1 0 0,1
1180,retreats seats maids shades bring sing,ats ats ids ades ing ing,A A B C D D,0 0 0 0 1 1,1
1181,long song flame fame plain again bruised confused see agree display day address repress glades shades extend ascend dyes arise corn adorn we tree born adorn sight height here appear crownd ground stand hand plains reigns,ong ong ame ame ain ain uised used ee ee ay ay ess ess ades ades end end yes ise orn orn e ee orn orn ight eight ere ear ownd ound and and ins igns,A A B B C C D E F F G G H H I I J J K L M M F F M M N N O O P Q R R S T,1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 0 1 1 0 1 1 1 0 1 1 1 1 0 1 1 0 1 1 1 0 0,1
